,artist_name,track_name,track_id,popularity,artist_id,artists_id,artists_names,year,genre
515,Elohim,Sensations - Whethan Remix,3Rhbpb5OUI4BbK580AUpew,58,6wKxOKEA3K6R2UZ3COLXEY,"['6wKxOKEA3K6R2UZ3COLXEY', '0vqJkZ0RpLZixt3lTmD8vP']","['Elohim', 'Whethan']",2016,edm
516,Kygo,Stay (feat. Maty Noyes),2FiSTH0GYpIioUgjfzMIja,66,23fqKkggKUBHNkbKtXEls4,"['23fqKkggKUBHNkbKtXEls4', '5JSXWmQO8csVUy6hSRu8TA']","['Kygo', 'Maty Noyes']",2016,edm
517,Kygo,Carry Me (feat. Julia Michaels),3FZEv9JddkjHNFiMVxJYpS,64,23fqKkggKUBHNkbKtXEls4,"['23fqKkggKUBHNkbKtXEls4', '0ZED1XzwlLHW4ZaG4lOT6m']","['Kygo', 'Julia Michaels']",2016,edm
518,ZHU,In the Morning,01wpPOPqQ3XyS6hBN00HfK,62,28j8lBWDdDSHSSt5oPlsX2,['28j8lBWDdDSHSSt5oPlsX2'],['ZHU'],2016,edm
519,Tritonal,Getaway - Koven Remix,10EpXLXKHmNSVKvX7A5hg8,65,521qvhdobR0GzhvU6TFw76,"['521qvhdobR0GzhvU6TFw76', '6D5xkX8ecb4bGccXqtDI63', '3UCbp6D1lvILlxRJT9LnFa']","['Tritonal', 'Angel Taylor', 'Koven']",2016,edm
520,Audien,Crazy Love,1gwwNLcYQRnzvkBhwDjUX3,58,4xnMDfgEmXZEEDdITKcGuE,"['4xnMDfgEmXZEEDdITKcGuE', '0lM8pgLaP7dAfY5E4jLNuj']","['Audien', 'Deb’s Daughter']",2016,edm
521,Marshmello,Summer,1Hk0QRlUFCHYG6zIvUh0Xd,61,64KEffDW9EtZ1y2vBYgq8T,['64KEffDW9EtZ1y2vBYgq8T'],['Marshmello'],2016,edm
522,Hippie Sabotage,High Enough,60al6ZkP5cOsZN96FqzDGH,58,4dM6NDYSfLcspt8GLoT5aE,['4dM6NDYSfLcspt8GLoT5aE'],['Hippie Sabotage'],2016,edm
523,Gryffin,Whole Heart,4Z1t1aMRif8ES212kTN8H2,59,2ZRQcIgzPCVaT9XKhXZIzh,"['2ZRQcIgzPCVaT9XKhXZIzh', '0CjWKoS55T7DOt0HJuwF1H']","['Gryffin', 'Bipolar Sunshine']",2016,edm
524,Malaa,Notorious,74cvkvTVxAXCew97vBnYiy,62,7w1eTNePApzDk8XtgykCPS,['7w1eTNePApzDk8XtgykCPS'],['Malaa'],2016,edm
